LOG SESSION DATE: 16.02.2026 16:28
--------------------------------------------------
16:28:33 | main.py                                    | INFO     | Storage Initialized: 'simulation_results.csv'
16:28:33 | main.py                                    | INFO     | Starting Simulation Sequence
16:28:33 | pyawr_configure_schematic_rf_frequency.py  | INFO     | Configuring RF Frequencies: 'VDS40_Load_Pull'
16:28:33 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 12.7 GHz
16:28:33 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 12.75 GHz
16:28:33 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 12.8 GHz
16:28:33 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 12.85 GHz
16:28:33 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 12.9 GHz
16:28:33 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 12.95 GHz
16:28:33 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 13.0 GHz
16:28:33 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 13.05 GHz
16:28:33 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 13.1 GHz
16:28:33 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 13.15 GHz
16:28:33 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 13.2 GHz
16:28:33 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   └── Added Frequency: 13.25 GHz
16:28:33 | pyawr_configure_schematic_element.py       | INFO     | Configuring Element: 'DCVS.VDS' in 'VDS40_Load_Pull'
16:28:33 | pyawr_configure_schematic_element.py       | INFO     |   └── V: [40] -> [40]
16:28:33 | main.py                                    | INFO     | State Matrix Generated: 1 unique combinations.
16:28:33 | main.py                                    | INFO     | >>> PROCESSING STATE 1/1: ('30', '-2.9')
16:28:33 | pyawr_configure_schematic_element.py       | INFO     | Configuring Element: 'PORT1.P1' in 'VDS40_Load_Pull'
16:28:33 | pyawr_configure_schematic_element.py       | INFO     |   └── Pwr: [30] -> [30]
16:28:33 | pyawr_configure_schematic_element.py       | INFO     | Configuring Element: 'DCVS.VGS' in 'VDS40_Load_Pull'
16:28:33 | pyawr_configure_schematic_element.py       | INFO     |   └── V: [-2.9] -> [-2.9]
16:28:33 | main.py                                    | INFO     |    > Iteration 1/3 (Radius: 0.99)
16:28:33 | pyawr_configure_schematic_element.py       | INFO     | Configuring Element: 'HBTUNER3.SourceTuner' in 'VDS40_Load_Pull'
16:28:34 | pyawr_configure_schematic_element.py       | INFO     |   ├── Mag1: [0.8760011874045106] -> [calcMag(50,0,z0)]
16:28:34 | pyawr_configure_schematic_element.py       | INFO     |   └── Ang1: [-61.28264362132166] -> [calcAng(50,0,z0)]
16:28:34 | pyawr_configure_schematic_element.py       | INFO     | Configuring Element: 'HBTUNER3.LoadTuner' in 'VDS40_Load_Pull'
16:28:34 | pyawr_configure_schematic_element.py       | INFO     |   ├── Mag1: [0.6857973681544773] -> [0.0]
16:28:34 | pyawr_configure_schematic_element.py       | INFO     |   └── Ang1: [-122.92745210725934] -> [0.0]
