LOG SESSION DATE: 16.02.2026 01:40
--------------------------------------------------
01:40:50 | main.py                                    | INFO     | Storage Initialized: 'simulation_results.csv'
01:40:50 | main.py                                    | INFO     | Starting Simulation Sequence
01:40:50 | pyawr_configure_schematic_rf_frequency.py  | INFO     | Configuring RF Frequencies: 'VDS40_Load_Pull'
01:40:50 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 12.9 GHz
01:40:50 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 12.91 GHz
01:40:50 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 12.92 GHz
01:40:50 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 12.93 GHz
01:40:50 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 12.94 GHz
01:40:50 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 12.95 GHz
01:40:50 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 12.96 GHz
01:40:50 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 12.97 GHz
01:40:50 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 12.98 GHz
01:40:50 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 12.99 GHz
01:40:50 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 13.0 GHz
01:40:50 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 13.01 GHz
01:40:50 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 13.02 GHz
01:40:50 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 13.03 GHz
01:40:50 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 13.04 GHz
01:40:50 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 13.05 GHz
01:40:50 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 13.06 GHz
01:40:50 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 13.07 GHz
01:40:50 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 13.08 GHz
01:40:50 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 13.09 GHz
01:40:50 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   └── Added Frequency: 13.1 GHz
01:40:50 | pyawr_configure_schematic_element.py       | INFO     | Configuring Element: 'DCVS.VDS' in 'VDS40_Load_Pull'
01:40:50 | pyawr_configure_schematic_element.py       | INFO     |   └── V: [40] -> [40]
01:40:50 | main.py                                    | INFO     | State Matrix Generated: 1 unique combinations.
01:40:50 | main.py                                    | INFO     | >>> PROCESSING STATE 1/1: ('30', '-2.9')
01:40:50 | pyawr_configure_schematic_element.py       | INFO     | Configuring Element: 'PORT1.P1' in 'VDS40_Load_Pull'
01:40:50 | pyawr_configure_schematic_element.py       | INFO     |   └── Pwr: [30] -> [30]
01:40:50 | pyawr_configure_schematic_element.py       | INFO     | Configuring Element: 'DCVS.VGS' in 'VDS40_Load_Pull'
01:40:51 | pyawr_configure_schematic_element.py       | INFO     |   └── V: [-2.9] -> [-2.9]
01:40:51 | main.py                                    | INFO     |    > Iteration 1/2 (Radius: 0.99)
01:40:51 | pyawr_configure_schematic_element.py       | INFO     | Configuring Element: 'HBTUNER3.SourceTuner' in 'VDS40_Load_Pull'
01:40:51 | pyawr_configure_schematic_element.py       | INFO     |   ├── Mag1: [0.8411512115406378] -> [calcMag(50,0,z0)]
01:40:51 | pyawr_configure_schematic_element.py       | INFO     |   └── Ang1: [-61.93595436389755] -> [calcAng(50,0,z0)]
01:40:51 | pyawr_configure_schematic_element.py       | INFO     | Configuring Element: 'HBTUNER3.LoadTuner' in 'VDS40_Load_Pull'
01:40:51 | pyawr_configure_schematic_element.py       | INFO     |   ├── Mag1: [0.7064160648814485] -> [0.0]
01:40:51 | pyawr_configure_schematic_element.py       | INFO     |   └── Ang1: [-122.2840218243285] -> [0.0]
01:40:51 | pyawr_loadpull_wizard.py                   | INFO     | Starting Load Pull Wizard Automation Sequence
01:40:51 | pyawr_loadpull_wizard.py                   | INFO     |   ├── Configuring Wizard Parameters:
01:40:51 | pyawr_loadpull_wizard.py                   | INFO     |     ├── LP_MaxHarmonic: [3] -> [1]
01:40:51 | pyawr_loadpull_wizard.py                   | INFO     |     ├── LP_DataFileName: [LP_Data] -> [source_data_1]
01:40:51 | pyawr_loadpull_wizard.py                   | INFO     |     ├── LP_OverwriteDataFile: [0] -> [True]
01:40:51 | pyawr_loadpull_wizard.py                   | INFO     |     ├── LP_Sweep_Source1: [0] -> [True]
01:40:51 | pyawr_loadpull_wizard.py                   | INFO     |     ├── LP_Sweep_Load1: [1] -> [False]
01:40:51 | pyawr_loadpull_wizard.py                   | INFO     |     ├── LP_Source1_Density: [Medium] -> [Extra fine]
01:40:51 | pyawr_loadpull_wizard.py                   | INFO     |     ├── LP_Source1_Radius: [0.6] -> [0.99]
01:40:51 | pyawr_loadpull_wizard.py                   | INFO     |     ├── LP_Source1_CenterMagnitude: [0.8] -> [0.0]
01:40:51 | pyawr_loadpull_wizard.py                   | INFO     |     └── LP_Source1_CenterAngle: [180.0] -> [0.0]
01:40:51 | pyawr_loadpull_wizard.py                   | INFO     |   ├── Configuration Summary: 9 Success, 0 Failed.
01:40:51 | pyawr_loadpull_wizard.py                   | INFO     |   ├── Triggering Load Pull Execution (Exec)...
01:41:02 | pyawr_loadpull_wizard.py                   | INFO     |   └── Load Pull Process Completed Successfully.
01:41:02 | pyawr_get_broadband_contours.py            | INFO     | Starting Data Extraction Sequence for Graph: it1_source_pull
01:41:03 | pyawr_get_broadband_contours.py            | INFO     |   ├── Extracting Measurement Traces:
01:41:05 | pyawr_get_broadband_contours.py            | INFO     |   └── Data Extraction Process Completed Successfully
01:41:05 | main.py                                    | INFO     |      * SP Result: Mag [0.845], Ang [-71.5]
01:41:05 | pyawr_configure_schematic_element.py       | INFO     | Configuring Element: 'HBTUNER3.SourceTuner' in 'VDS40_Load_Pull'
01:41:05 | pyawr_configure_schematic_element.py       | INFO     |   ├── Mag1: [calcMag(50,0,z0)] -> [0.8445630512096898]
01:41:05 | pyawr_configure_schematic_element.py       | INFO     |   └── Ang1: [calcAng(50,0,z0)] -> [-71.46821441570532]
01:41:05 | pyawr_configure_schematic_element.py       | INFO     | Configuring Element: 'HBTUNER3.LoadTuner' in 'VDS40_Load_Pull'
01:41:05 | pyawr_configure_schematic_element.py       | INFO     |   ├── Mag1: [0.0] -> [calcMag(50,0,z0)]
01:41:05 | pyawr_configure_schematic_element.py       | INFO     |   └── Ang1: [0.0] -> [calcAng(50,0,z0)]
01:41:05 | pyawr_loadpull_wizard.py                   | INFO     | Starting Load Pull Wizard Automation Sequence
01:41:06 | pyawr_loadpull_wizard.py                   | INFO     |   ├── Configuring Wizard Parameters:
01:41:06 | pyawr_loadpull_wizard.py                   | INFO     |     ├── LP_MaxHarmonic: [3] -> [1]
01:41:06 | pyawr_loadpull_wizard.py                   | INFO     |     ├── LP_DataFileName: [LP_Data] -> [load_data_1]
01:41:06 | pyawr_loadpull_wizard.py                   | INFO     |     ├── LP_OverwriteDataFile: [0] -> [True]
01:41:06 | pyawr_loadpull_wizard.py                   | INFO     |     ├── LP_Sweep_Load1: [1] -> [True]
01:41:06 | pyawr_loadpull_wizard.py                   | INFO     |     ├── LP_Sweep_Source1: [0] -> [False]
01:41:06 | pyawr_loadpull_wizard.py                   | INFO     |     ├── LP_Load1_Density: [Medium] -> [Extra fine]
01:41:06 | pyawr_loadpull_wizard.py                   | INFO     |     ├── LP_Load1_Radius: [0.6] -> [0.99]
01:41:06 | pyawr_loadpull_wizard.py                   | INFO     |     ├── LP_Load1_CenterMagnitude: [0.8] -> [0.0]
01:41:06 | pyawr_loadpull_wizard.py                   | INFO     |     └── LP_Load1_CenterAngle: [180.0] -> [0.0]
01:41:06 | pyawr_loadpull_wizard.py                   | INFO     |   ├── Configuration Summary: 9 Success, 0 Failed.
01:41:06 | pyawr_loadpull_wizard.py                   | INFO     |   ├── Triggering Load Pull Execution (Exec)...
01:41:18 | pyawr_loadpull_wizard.py                   | INFO     |   └── Load Pull Process Completed Successfully.
01:41:18 | pyawr_get_broadband_contours.py            | INFO     | Starting Data Extraction Sequence for Graph: it1_load_pull
01:41:19 | pyawr_get_broadband_contours.py            | INFO     |   ├── Extracting Measurement Traces:
01:41:22 | pyawr_get_broadband_contours.py            | INFO     |   └── Data Extraction Process Completed Successfully
01:41:22 | main.py                                    | INFO     |      * LP Result: Mag [0.709], Ang [-121.1]
01:41:22 | main.py                                    | INFO     |    > Iteration 2/2 (Radius: 0.6)
01:41:22 | pyawr_configure_schematic_element.py       | INFO     | Configuring Element: 'HBTUNER3.SourceTuner' in 'VDS40_Load_Pull'
01:41:23 | pyawr_configure_schematic_element.py       | INFO     |   ├── Mag1: [0.8445630512096898] -> [calcMag(50,0,z0)]
01:41:23 | pyawr_configure_schematic_element.py       | INFO     |   └── Ang1: [-71.46821441570532] -> [calcAng(50,0,z0)]
01:41:23 | pyawr_configure_schematic_element.py       | INFO     | Configuring Element: 'HBTUNER3.LoadTuner' in 'VDS40_Load_Pull'
01:41:23 | pyawr_configure_schematic_element.py       | INFO     |   ├── Mag1: [calcMag(50,0,z0)] -> [0.70887866259087]
01:41:23 | pyawr_configure_schematic_element.py       | INFO     |   └── Ang1: [calcAng(50,0,z0)] -> [-121.0781241173504]
01:41:23 | pyawr_loadpull_wizard.py                   | INFO     | Starting Load Pull Wizard Automation Sequence
01:41:23 | pyawr_loadpull_wizard.py                   | INFO     |   ├── Configuring Wizard Parameters:
01:41:23 | pyawr_loadpull_wizard.py                   | INFO     |     ├── LP_MaxHarmonic: [3] -> [1]
01:41:23 | pyawr_loadpull_wizard.py                   | INFO     |     ├── LP_DataFileName: [LP_Data] -> [source_data_2]
01:41:23 | pyawr_loadpull_wizard.py                   | INFO     |     ├── LP_OverwriteDataFile: [0] -> [True]
01:41:23 | pyawr_loadpull_wizard.py                   | INFO     |     ├── LP_Sweep_Source1: [0] -> [True]
01:41:23 | pyawr_loadpull_wizard.py                   | INFO     |     ├── LP_Sweep_Load1: [1] -> [False]
01:41:23 | pyawr_loadpull_wizard.py                   | INFO     |     ├── LP_Source1_Density: [Medium] -> [Extra fine]
01:41:23 | pyawr_loadpull_wizard.py                   | INFO     |     ├── LP_Source1_Radius: [0.6] -> [0.6]
01:41:23 | pyawr_loadpull_wizard.py                   | INFO     |     ├── LP_Source1_CenterMagnitude: [0.8] -> [0.8445630512096898]
01:41:23 | pyawr_loadpull_wizard.py                   | INFO     |     └── LP_Source1_CenterAngle: [180.0] -> [-71.46821441570532]
01:41:23 | pyawr_loadpull_wizard.py                   | INFO     |   ├── Configuration Summary: 9 Success, 0 Failed.
01:41:23 | pyawr_loadpull_wizard.py                   | INFO     |   ├── Triggering Load Pull Execution (Exec)...
01:41:31 | pyawr_loadpull_wizard.py                   | INFO     |   └── Load Pull Process Completed Successfully.
01:41:31 | pyawr_get_broadband_contours.py            | INFO     | Starting Data Extraction Sequence for Graph: it2_source_pull
01:41:31 | pyawr_get_broadband_contours.py            | INFO     |   ├── Extracting Measurement Traces:
