LOG SESSION DATE: 16.02.2026 16:47
--------------------------------------------------
16:47:42 | main.py                                    | INFO     | Storage Initialized: 'simulation_results.csv'
16:47:42 | main.py                                    | INFO     | Starting Simulation Sequence
16:47:42 | pyawr_configure_schematic_rf_frequency.py  | INFO     | Configuring RF Frequencies: 'VDS40_Load_Pull'
16:47:43 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 12.7 GHz
16:47:43 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 12.75 GHz
16:47:43 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 12.8 GHz
16:47:43 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 12.85 GHz
16:47:43 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 12.9 GHz
16:47:43 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 12.95 GHz
16:47:43 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 13.0 GHz
16:47:43 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 13.05 GHz
16:47:43 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 13.1 GHz
16:47:43 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 13.15 GHz
16:47:43 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   ├── Added Frequency: 13.2 GHz
16:47:43 | pyawr_configure_schematic_rf_frequency.py  | INFO     |   └── Added Frequency: 13.25 GHz
16:47:43 | pyawr_configure_schematic_element.py       | INFO     | Configuring Element: 'DCVS.VDS' in 'VDS40_Load_Pull'
16:47:43 | pyawr_configure_schematic_element.py       | INFO     |   └── V: [40] -> [40]
16:47:43 | main.py                                    | INFO     | State Matrix Generated: 1 unique combinations.
16:47:43 | main.py                                    | INFO     | >>> PROCESSING STATE 1/1: ('30', '-2.9')
16:47:43 | pyawr_configure_schematic_element.py       | INFO     | Configuring Element: 'PORT1.P1' in 'VDS40_Load_Pull'
16:47:43 | pyawr_configure_schematic_element.py       | INFO     |   └── Pwr: [30] -> [30]
16:47:43 | pyawr_configure_schematic_element.py       | INFO     | Configuring Element: 'DCVS.VGS' in 'VDS40_Load_Pull'
16:47:43 | pyawr_configure_schematic_element.py       | INFO     |   └── V: [-2.9] -> [-2.9]
